transaction_id,date,customer_id,product,price,quantity,coupon_code,shipping_city
TXN00001,2024-01-13,CUST0071,Mechanical Keyboard,85.4,2,SAVE15,Montreal
TXN00002,2024-02-14,CUST0152,Fitness Tracker,83.43,1,,Ottawa-Gatineau
TXN00003,2024-09-15,CUST0155,Laptop Stand,42.78,2,SAVE15,Hamilton
TXN00004,2024-04-22,CUST0115,Portable SSD,121.63,1,WELCOME20,Vancouver
TXN00005,2024-06-23,CUST0072,Portable SSD,111.27,3,,Montreal
TXN00006,2024-02-19,CUST0092,Portable SSD,127.81,5,,Toronto
TXN00007,2024-10-01,CUST0032,Smartphone Case,26.27,4,,Hamilton
TXN00008,2024-13-40,CUST0159,Webcam,77.55,3,SAVE10,Ottawa-Gatineau
TXN00009,2024-01-24,CUST0170,Mechanical Keyboard,85.09,3,,Ottawa-Gatineau
TXN00010,2024-07-13,CUST0072,Mechanical Keyboard,89.15,3,,Edmonton
TXN00011,2024-04-17,CUST0172,Noise-Cancelling Headphones,152.53,1,SAVE10,Vancouver
TXN00012,2024-05-05,CUST0042,Fitness Tracker,84.11,3,SAVE15,Hamilton
TXN00013,2024-12-16,CUST0084,Laptop Stand,50.49,1,,Toronto
TXN00014,2024-07-24,CUST0069,Noise-Cancelling Headphones,146.11,5,SAVE15,Edmonton
TXN00015,2024-12-01,CUST0128,Laptop Stand,46.26,4,,Calgary
TXN00016,2024-05-06,CUST0144,USB-C Hub,54.92,5,SAVE5,Kitchener-Cambridge-Waterloo
TXN00017,2024-07-04,CUST0057,Portable SSD,131.39,2,SAVE10,Winnipeg
TXN00018,2024-01-25,CUST0029,Mechanical Keyboard,83.74,2,WELCOME20,Quebec City
TXN00019,2024-02-02,CUST0099,Desk Lamp,39.0,-2,SAVE10,Calgary
TXN00020,2024-01-06,CUST0175,Fitness Tracker,88.49,5,WELCOME20,Calgary
TXN00021,2024-02-27,CUST0076,Noise-Cancelling Headphones,157.9,4,,Calgary
TXN00022,2024-04-01,CUST0130,Fitness Tracker,91.74,3,WELCOME20,Hamilton
TXN00023,2024-04-11,CUST0040,Desk Lamp,38.94,2,SAVE10,Hamilton
TXN00024,2024-11-02,CUST0083,Wireless Mouse,29.92,1,,Calgary
TXN00025,2024-01-30,CUST0062,Laptop Stand,50.82,1,,Winnipeg
TXN00026,2024-09-29,CUST0033,Mechanical Keyboard,83.3,4,SAVE10,Vancouver
TXN00027,2024-09-27,CUST0156,Webcam,70.89,2,SAVE10,Ottawa-Gatineau
TXN00028,2024-07-23,CUST0172,Webcam,74.16,4,SAVE10,Winnipeg
TXN00029,2024-05-06,CUST0058,Mechanical Keyboard,82.14,1,SAVE10,Hamilton
TXN00030,2024-10-28,CUST0057,Laptop Stand,42.59,1,,Montreal
TXN00031,2024-06-18,CUST0019,Wireless Mouse,30.07,3,SAVE15,Winnipeg
TXN00032,2024-10-03,CUST0034,Laptop Stand,unknown,5,SAVE10,Winnipeg
TXN00033,2024-08-30,CUST0105,Laptop Stand,44.32,1,SAVE15,Quebec City
TXN00034,2024-08-04,CUST0106,Noise-Cancelling Headphones,158.93,1,SAVE15,Montreal
TXN00035,2024-07-25,CUST0087,Wireless Mouse,31.79,1,,Ottawa-Gatineau
TXN00036,2024-10-01,CUST0115,Laptop Stand,43.85,2,,Winnipeg
TXN00037,2024-02-08,CUST0114,Laptop Stand,50.16,5,,Toronto
TXN00038,2024-01-08,CUST0024,Fitness Tracker,91.98,2,,Quebec City
TXN00039,2024-09-03,CUST0055,Smartphone Case,25.75,1,,Quebec City
TXN00040,2024-07-18,CUST0068,Wireless Mouse,32.55,4,,Quebec City
TXN00041,2024-12-04,CUST0125,Fitness Tracker,78.9,3,,Toronto
TXN00042,2024-10-04,CUST0016,Desk Lamp,41.93,1,,Kitchener-Cambridge-Waterloo
TXN00043,2024-09-14,CUST0136,Smartphone Case,22.36,5,,Vancouver
TXN00044,2024-10-31,CUST0018,Mechanical Keyboard,93.14,2,SAVE5,Montreal
TXN00045,2024-05-06,CUST0149,Desk Lamp,40.71,5,,
TXN00046,2024-10-16,CUST0134,Desk Lamp,38.48,3,,Edmonton
TXN00047,2024-05-15,CUST0102,Laptop Stand,43.76,3,SAVE5,Edmonton
TXN00048,2024-01-05,CUST0118,Mechanical Keyboard,92.17,5,,Montreal
TXN00049,2024-04-19,CUST0130,Fitness Tracker,80.77,3,,Ottawa-Gatineau
TXN00050,2024-05-25,CUST0041,Noise-Cancelling Headphones,158.01,5,SAVE15,Calgary
TXN00051,2024-11-30,CUST0136,Desk Lamp,36.02,5,,Montreal
TXN00052,2024-05-15,CUST0030,USB-C Hub,58.75,5,,Calgary
TXN00053,2024-11-05,CUST0054,Webcam,75.13,2,SAVE15,Calgary
TXN00054,2024-09-07,CUST0065,Fitness Tracker,91.62,1,,Quebec City
TXN00055,2024-01-23,CUST0001,Webcam,69.6,2,SAVE15,Calgary
TXN00056,2024-08-14,CUST0142,USB-C Hub,56.74,5,NOTREAL,Montreal
TXN00057,2024-12-19,CUST0039,Mechanical Keyboard,90.81,3,SAVE10,Hamilton
TXN00058,2024-08-08,CUST0033,USB-C Hub,49.51,3,WELCOME20,Toronto
TXN00059,2024-04-17,CUST0175,Noise-Cancelling Headphones,151.98,1,,Hamilton
TXN00060,2024-11-13,CUST0040,Portable SSD,129.68,2,WELCOME20,Vancouver
TXN00061,2024-07-30,CUST0007,USB-C Hub,51.01,3,WELCOME20,Quebec City
TXN00062,2024-05-16,CUST0041,Laptop Stand,49.97,1,SAVE5,Toronto
TXN00063,2024-04-23,CUST0052,Smartphone Case,25.52,4,,Calgary
TXN00064,2024-04-24,CUST0007,Laptop Stand,48.76,4,,Calgary
TXN00065,2024-05-22,CUST0090,Mechanical Keyboard,92.54,4,SAVE15,Hamilton
TXN00066,2024-01-15,CUST0030,Noise-Cancelling Headphones,172.05,3,,Kitchener-Cambridge-Waterloo
TXN00067,2024-01-20,CUST0028,Webcam,73.39,3,SAVE15,Edmonton
TXN00068,2024-11-06,CUST0131,Portable SSD,110.31,5,,Calgary
TXN00069,2024-12-28,CUST0112,Wireless Mouse,27.0,5,SAVE15,Ottawa-Gatineau
TXN00070,2024-08-08,CUST0018,Noise-Cancelling Headphones,174.35,3,SAVE10,Edmonton
TXN00071,2024-06-02,CUST0130,Mechanical Keyboard,86.56,4,,Quebec City
TXN00072,2024-10-10,CUST0033,Webcam,67.56,4,SAVE15,Vancouver
TXN00073,2024-10-18,CUST0078,Desk Lamp,39.2,1,,Calgary
TXN00074,2024-08-08,CUST0149,Laptop Stand,48.26,3,SAVE5, toronto 
TXN00075,2024-12-11,CUST0055,Smartphone Case,24.05,2,SAVE15,Montreal
TXN00076,2024-09-20,CUST0170,Webcam,73.91,3,,Ottawa-Gatineau
TXN00077,2024-04-25,CUST0051,Webcam,66.92,1,,Winnipeg
TXN00078,2024-02-07,CUST0117,Desk Lamp,39.27,5,,Quebec City
TXN00079,2024-07-23,CUST0063,Smartphone Case,22.31,1,WELCOME20,Montreal
TXN00080,2024-04-22,CUST0046,Portable SSD,126.77,5,SAVE5,Toronto
TXN00081,2024-05-07,CUST0032,Fitness Tracker,84.01,4,SAVE15,Hamilton
TXN00082,2024-10-31,CUST0082,Fitness Tracker,92.38,4,SAVE10,Hamilton
TXN00083,2024-10-07,CUST0115,Portable SSD,128.99,4,SAVE5,Calgary
TXN00084,2024-11-22,CUST0071,Laptop Stand,49.76,5,SAVE5,Ottawa-Gatineau
TXN00085,2024-08-13,CUST0020,Webcam,75.08,2,,Edmonton
TXN00086,2024-10-03,CUST0021,Noise-Cancelling Headphones,148.42,2,SAVE5,Vancouver
TXN00087,2024-02-02,CUST0107,Laptop Stand,46.38,5,SAVE5,Quebec City
TXN00088,2024-04-15,CUST0108,Wireless Mouse,29.33,5,SAVE15,Toronto
TXN00089,2024-07-13,CUST0123,Desk Lamp,36.0,3,,Quebec City
TXN00090,2024-10-02,CUST0140,Portable SSD,126.67,2,SAVE5,Ottawa-Gatineau
TXN00091,2024-08-11,CUST0125,Webcam,65.22,3,SAVE15,Quebec City
TXN00092,2024-08-27,CUST0033,  Webcam ,59.74,5,,Quebec City
TXN00093,2024-10-15,CUST0170,Desk Lamp,36.17,4,,Winnipeg
TXN00094,2024-01-26,CUST0067,USB-C Hub,53.18,2,SAVE5,Edmonton
TXN00095,2024-07-13,CUST0072,Noise-Cancelling Headphones,168.05,4,,Montreal
