transaction_id,date,customer_id,product,price,quantity,coupon_code,shipping_city,discount_pct,province,cma_population_2021,days_since_purchase,revenue
TXN00001,2024-01-13,CUST0071,Mechanical Keyboard,85.4,2,SAVE15,Montreal,15,Quebec,4291732,352,145.18
TXN00002,2024-02-14,CUST0152,Fitness Tracker,83.43,1,,Ottawa-Gatineau,0,Ontario/Quebec,1488307,320,83.43
TXN00003,2024-09-15,CUST0155,Laptop Stand,42.78,2,SAVE15,Hamilton,15,Ontario,785184,106,72.73
TXN00004,2024-04-22,CUST0115,Portable SSD,121.63,1,WELCOME20,Vancouver,20,British Columbia,2642825,252,97.3
TXN00005,2024-06-23,CUST0072,Portable SSD,111.27,3,,Montreal,0,Quebec,4291732,190,333.81
TXN00006,2024-02-19,CUST0092,Portable SSD,127.81,5,,Toronto,0,Ontario,6202225,315,639.05
TXN00007,2024-10-01,CUST0032,Smartphone Case,26.27,4,,Hamilton,0,Ontario,785184,90,105.08
TXN00009,2024-01-24,CUST0170,Mechanical Keyboard,85.09,3,,Ottawa-Gatineau,0,Ontario/Quebec,1488307,341,255.27
TXN00010,2024-07-13,CUST0072,Mechanical Keyboard,89.15,3,,Edmonton,0,Alberta,1418118,170,267.45
TXN00011,2024-04-17,CUST0172,Noise-Cancelling Headphones,152.53,1,SAVE10,Vancouver,10,British Columbia,2642825,257,137.28
TXN00012,2024-05-05,CUST0042,Fitness Tracker,84.11,3,SAVE15,Hamilton,15,Ontario,785184,239,214.48
TXN00013,2024-12-16,CUST0084,Laptop Stand,50.49,1,,Toronto,0,Ontario,6202225,14,50.49
TXN00014,2024-07-24,CUST0069,Noise-Cancelling Headphones,146.11,5,SAVE15,Edmonton,15,Alberta,1418118,159,620.97
TXN00015,2024-12-01,CUST0128,Laptop Stand,46.26,4,,Calgary,0,Alberta,1481806,29,185.04
TXN00016,2024-05-06,CUST0144,USB-C Hub,54.92,5,SAVE5,Kitchener-Cambridge-Waterloo,5,Ontario,575847,238,260.87
TXN00017,2024-07-04,CUST0057,Portable SSD,131.39,2,SAVE10,Winnipeg,10,Manitoba,834678,179,236.5
TXN00018,2024-01-25,CUST0029,Mechanical Keyboard,83.74,2,WELCOME20,Quebec City,20,Quebec,839311,340,133.98
TXN00020,2024-01-06,CUST0175,Fitness Tracker,88.49,5,WELCOME20,Calgary,20,Alberta,1481806,359,353.96
TXN00021,2024-02-27,CUST0076,Noise-Cancelling Headphones,157.9,4,,Calgary,0,Alberta,1481806,307,631.6
TXN00022,2024-04-01,CUST0130,Fitness Tracker,91.74,3,WELCOME20,Hamilton,20,Ontario,785184,273,220.18
TXN00023,2024-04-11,CUST0040,Desk Lamp,38.94,2,SAVE10,Hamilton,10,Ontario,785184,263,70.09
TXN00024,2024-11-02,CUST0083,Wireless Mouse,29.92,1,,Calgary,0,Alberta,1481806,58,29.92
TXN00025,2024-01-30,CUST0062,Laptop Stand,50.82,1,,Winnipeg,0,Manitoba,834678,335,50.82
TXN00026,2024-09-29,CUST0033,Mechanical Keyboard,83.3,4,SAVE10,Vancouver,10,British Columbia,2642825,92,299.88
TXN00027,2024-09-27,CUST0156,Webcam,70.89,2,SAVE10,Ottawa-Gatineau,10,Ontario/Quebec,1488307,94,127.6
TXN00028,2024-07-23,CUST0172,Webcam,74.16,4,SAVE10,Winnipeg,10,Manitoba,834678,160,266.98
TXN00029,2024-05-06,CUST0058,Mechanical Keyboard,82.14,1,SAVE10,Hamilton,10,Ontario,785184,238,73.93
TXN00030,2024-10-28,CUST0057,Laptop Stand,42.59,1,,Montreal,0,Quebec,4291732,63,42.59
TXN00031,2024-06-18,CUST0019,Wireless Mouse,30.07,3,SAVE15,Winnipeg,15,Manitoba,834678,195,76.68
TXN00033,2024-08-30,CUST0105,Laptop Stand,44.32,1,SAVE15,Quebec City,15,Quebec,839311,122,37.67
